year,state,state_SVI
2014,RI,7.004130969416626
2014,SC,7.767668980045566
2014,SD,6.844845775289083
2014,TN,7.275105510284147
2014,TX,7.846006864274715
2014,UT,6.383950653421088
2014,VA,6.381780863834329
2014,VT,6.284801006772485
2014,WA,7.213336945833515
2014,WI,6.54719083991619
2014,WV,7.288264117276135
2014,WY,6.445348487703629
2016,AK,7.066513839493523
2016,AL,8.275613607223386
2016,AR,8.42612302841327
2016,AZ,9.008563310325497
2016,CA,8.624171478350894
2016,CO,6.412216475413277
2016,CT,6.9530541089904885
2016,DC,8.0401
2016,DE,7.3311220971546875
2016,FL,8.289209343989459
2016,GA,8.182552365357271
2016,HI,7.2382188637683536
2016,IA,5.974823082068468
2016,ID,6.902929698566112
2016,IL,7.3586509603877595
2016,IN,7.24034400333375
2016,KS,6.618637370285672
2016,KY,7.840732855612288
2016,LA,8.768676642852377
2016,MA,6.833428522192425
2016,MD,6.6837236017807005
2016,ME,6.1793536970185485
2016,MI,7.290124559396949
2016,MN,5.988508823548837
2016,MO,6.942419646742032
2016,MS,9.226864689053096
2016,MT,5.993828793198299
2016,NC,8.321745061739323
2016,ND,5.33309810639506
2016,NE,6.398143912188592
2016,NH,4.929402456491624
2016,NJ,7.129140346629494
2016,NM,9.390028672343037
2016,NV,8.736239543641597
2016,NY,7.839144522264982
2016,OH,7.062146773043894
2016,OK,8.114652306681643
2016,OR,7.869342292794531
2016,PA,6.8780632902577965
2016,RI,7.3859517661127505
2016,SC,8.422088382401459
2016,SD,6.3304209284208595
2016,TN,7.723951649669388
2016,TX,8.493214653068923
2016,UT,6.351045952265394
2016,VA,6.376750695997654
2016,VT,5.567950140279665
2016,WA,7.13281463333289
2016,WI,6.218174684828208
2016,WV,7.423876092361594
2016,WY,5.911659277840382
2018,AK,7.241089744433432
2018,AL,8.148611411500859
2018,AR,8.427029830596545
2018,AZ,8.859005220792364
2018,CA,8.422591768791655
2018,CO,6.246142561236462
2018,CT,6.943943263695923
2018,DC,8.0067
2018,DE,7.151620428648913
2018,FL,8.088538655195986
2018,GA,7.916819089022135
2018,HI,7.260775640581169
2018,IA,6.050419283677345
2018,ID,6.694235222765135
2018,IL,7.276317920052549
2018,IN,7.151810269447825
2018,KS,6.620785519407476
2018,KY,7.7670824612337634
2018,LA,8.840115463623077
2018,MA,6.802632744169895
2018,MD,6.702109643145965
2018,ME,6.073550048131284
2018,MI,7.116289338977863
2018,MN,5.969982654154118
2018,MO,6.826719391313257
2018,MS,9.107307951252057
2018,MT,5.820070910176514
2018,NC,8.024975353616874
2018,ND,5.458082503346844
2018,NE,6.33787072985573
2018,NH,4.886287226541393
2018,NJ,7.034293156658329
2018,NM,9.356531028816045
2018,NV,8.502816961225161
2018,NY,7.790365997109967
2018,OH,7.017950234468165
2018,OK,8.220040781550006
2018,OR,7.602904682941433
2018,PA,6.888250831787933
2018,RI,7.364916362123809
2018,SC,8.234655323839647
2018,SD,6.306390002649576
2018,TN,7.563340979424574
2018,TX,8.41955603944674
2018,UT,6.198982814520498
